wav [Å]	Ti	Fe	Ni	Cu	Cd	W	Pb	Al	Zn	ZnO
0.001	0.237	0.953	1.643	0.662	0.358	0.288	0.363	0.084	0.264	0.306
0.002	0.237	0.953	1.643	0.662	0.423	0.288	0.363	0.084	0.264	0.306
0.003	0.237	0.953	1.643	0.663	0.488	0.289	0.363	0.084	0.264	0.306
0.004	0.238	0.953	1.644	0.663	0.553	0.29	0.363	0.084	0.264	0.306
0.005	0.238	0.953	1.644	0.663	0.618	0.29	0.363	0.084	0.264	0.306
0.006	0.238	0.953	1.644	0.663	0.683	0.291	0.363	0.084	0.264	0.306
0.007	0.238	0.954	1.644	0.663	0.747	0.292	0.363	0.084	0.264	0.306
0.008	0.238	0.954	1.644	0.663	0.812	0.292	0.363	0.084	0.265	0.306
0.009	0.239	0.954	1.645	0.664	0.877	0.293	0.363	0.084	0.265	0.306
0.01	0.239	0.954	1.645	0.664	0.942	0.294	0.363	0.084	0.265	0.306
0.011	0.239	0.954	1.645	0.664	1.007	0.294	0.363	0.084	0.265	0.306
0.012	0.239	0.954	1.645	0.664	1.072	0.295	0.363	0.084	0.265	0.306
0.013	0.239	0.954	1.646	0.664	1.137	0.296	0.363	0.084	0.265	0.306
0.014	0.24	0.954	1.646	0.665	1.202	0.296	0.363	0.084	0.265	0.306
0.015	0.24	0.954	1.646	0.665	1.267	0.297	0.363	0.084	0.265	0.306
0.016	0.24	0.955	1.646	0.665	1.332	0.297	0.363	0.084	0.265	0.306
0.017	0.24	0.955	1.647	0.665	1.397	0.298	0.363	0.084	0.265	0.306
0.018	0.24	0.955	1.647	0.665	1.462	0.299	0.363	0.084	0.265	0.306
0.019	0.241	0.955	1.647	0.665	1.527	0.299	0.363	0.084	0.265	0.306
0.02	0.241	0.955	1.647	0.666	1.591	0.3	0.363	0.084	0.265	0.306
0.021	0.241	0.955	1.647	0.666	1.656	0.301	0.363	0.084	0.265	0.306
0.022	0.241	0.955	1.648	0.666	1.721	0.301	0.363	0.084	0.265	0.306
0.023	0.241	0.955	1.648	0.666	1.786	0.302	0.363	0.084	0.265	0.306
0.024	0.241	0.956	1.648	0.666	1.851	0.303	0.363	0.084	0.265	0.306
0.025	0.242	0.956	1.648	0.666	1.916	0.303	0.363	0.084	0.265	0.306
0.026	0.242	0.956	1.649	0.667	1.981	0.304	0.363	0.084	0.265	0.306
0.027	0.242	0.956	1.649	0.667	2.046	0.305	0.363	0.084	0.265	0.306
0.028	0.242	0.956	1.649	0.667	2.111	0.305	0.363	0.084	0.265	0.306
0.029	0.242	0.956	1.649	0.667	2.176	0.306	0.363	0.084	0.265	0.306
0.03	0.243	0.956	1.649	0.667	2.241	0.306	0.363	0.084	0.265	0.306
0.031	0.243	0.956	1.65	0.668	2.306	0.307	0.363	0.084	0.265	0.307
0.032	0.243	0.957	1.65	0.668	2.371	0.308	0.363	0.084	0.265	0.307
0.033	0.243	0.957	1.65	0.668	2.435	0.308	0.363	0.084	0.266	0.307
0.034	0.243	0.957	1.65	0.668	2.5	0.309	0.363	0.084	0.266	0.307
0.035	0.244	0.957	1.651	0.668	2.565	0.31	0.363	0.084	0.266	0.307
0.036	0.244	0.957	1.651	0.668	2.63	0.31	0.363	0.084	0.266	0.307
0.037	0.244	0.957	1.651	0.669	2.695	0.311	0.363	0.084	0.266	0.307
0.038	0.244	0.957	1.651	0.669	2.76	0.312	0.363	0.084	0.266	0.307
0.039	0.244	0.957	1.651	0.669	2.825	0.312	0.363	0.084	0.266	0.307
0.04	0.245	0.957	1.652	0.669	2.89	0.313	0.363	0.084	0.266	0.307
0.041	0.245	0.958	1.652	0.669	2.955	0.313	0.363	0.084	0.266	0.307
0.042	0.245	0.958	1.652	0.669	3.02	0.314	0.363	0.084	0.266	0.307
0.043	0.245	0.958	1.652	0.67	3.085	0.315	0.363	0.084	0.266	0.307
0.044	0.245	0.958	1.653	0.67	3.15	0.315	0.363	0.084	0.266	0.307
0.045	0.246	0.958	1.653	0.67	3.214	0.316	0.363	0.084	0.266	0.307
0.046	0.246	0.958	1.653	0.67	3.279	0.317	0.363	0.085	0.266	0.307
0.047	0.246	0.958	1.653	0.67	3.344	0.317	0.363	0.085	0.266	0.307
0.048	0.246	0.958	1.654	0.671	3.409	0.318	0.363	0.085	0.266	0.307
0.049	0.246	0.959	1.654	0.671	3.474	0.319	0.363	0.085	0.266	0.307
0.05	0.246	0.959	1.654	0.671	3.539	0.319	0.363	0.085	0.266	0.307
0.051	0.247	0.959	1.654	0.671	3.604	0.32	0.363	0.085	0.266	0.307
0.052	0.247	0.959	1.654	0.671	3.669	0.321	0.363	0.085	0.266	0.307
0.053	0.247	0.959	1.655	0.671	3.734	0.321	0.363	0.085	0.266	0.307
0.054	0.247	0.959	1.655	0.672	3.799	0.322	0.363	0.085	0.266	0.307
0.055	0.247	0.959	1.655	0.672	3.864	0.322	0.363	0.085	0.266	0.307
0.056	0.248	0.959	1.655	0.672	3.929	0.323	0.363	0.085	0.266	0.307
0.057	0.248	0.959	1.656	0.672	3.994	0.324	0.363	0.085	0.266	0.307
0.058	0.248	0.96	1.656	0.672	4.058	0.324	0.363	0.085	0.267	0.307
0.059	0.248	0.96	1.656	0.672	4.123	0.325	0.363	0.085	0.267	0.307
0.06	0.248	0.96	1.656	0.673	4.188	0.326	0.363	0.085	0.267	0.307
0.061	0.249	0.96	1.656	0.673	4.253	0.326	0.363	0.085	0.267	0.307
0.062	0.249	0.96	1.657	0.673	4.318	0.327	0.363	0.085	0.267	0.307
0.063	0.249	0.96	1.657	0.673	4.383	0.328	0.363	0.085	0.267	0.307
0.064	0.249	0.96	1.657	0.673	4.448	0.328	0.363	0.085	0.267	0.307
0.065	0.249	0.96	1.657	0.674	4.513	0.329	0.363	0.085	0.267	0.307
0.066	0.25	0.961	1.657	0.674	4.578	0.33	0.363	0.085	0.267	0.307
0.067	0.25	0.961	1.658	0.674	4.643	0.33	0.363	0.085	0.267	0.307
0.068	0.25	0.961	1.658	0.674	4.708	0.331	0.363	0.085	0.267	0.307
0.069	0.25	0.961	1.658	0.674	4.773	0.331	0.363	0.085	0.267	0.307
0.07	0.25	0.961	1.658	0.674	4.838	0.332	0.363	0.085	0.267	0.307
0.071	0.251	0.961	1.659	0.675	4.902	0.333	0.363	0.085	0.267	0.307
0.072	0.251	0.961	1.659	0.675	4.967	0.333	0.363	0.085	0.267	0.307
0.073	0.251	0.961	1.659	0.675	5.032	0.334	0.363	0.085	0.267	0.308
0.074	0.251	0.961	1.659	0.675	5.097	0.335	0.363	0.085	0.267	0.308
0.075	0.251	0.962	1.659	0.675	5.162	0.335	0.363	0.085	0.267	0.308
0.076	0.251	0.962	1.66	0.675	5.227	0.336	0.363	0.085	0.267	0.308
